Date,Sales,Technology Focus,Primary Language(s)
2023-01-01,1200,.NET Core Web APIs,C#
2023-02-01,1350,"Razor Pages, Bootstrap UI","C#, HTML, CSS"
2023-03-01,1600,AI Email Classifier (ML.NET),"C#, ML.NET"
2023-04-01,1700,Inventory Management (Blazor),"C#, Razor"
2023-05-01,1500,Admin Panel + SQL Reports,"C#, SQL"
2023-06-01,1800,E-Commerce Chatbot (SignalR),"C#, JavaScript"
2023-07-01,1750,Real-time Chart Dashboard,"ASP.NET Core, Chart.js, JS"
2023-08-01,1900,AI-Powered KPI Dashboard,"C#, Python"
2023-09-01,2000,Blazor CRM Platform,"C#, Blazor"
2023-10-01,2100,Payment Gateway Integration,"ASP.NET Core, C#, jQuery"
2023-11-01,2200,Hybrid Web App + Azure Hosting,"C#, HTML, Azure DevOps"
2023-12-01,2300,AI Form Autofill Analyzer,"ML.NET, C#, JS"
2024-01-01,2250,Multi-role Admin Dashboard,"ASP.NET Identity, C#, SQL"
2024-02-01,2400,Chatbot + Language Classifier,"C#, Python (NLTK), ML.NET"
2024-03-01,2450,SaaS Subscription Billing,".NET Core, Stripe API, Razor"
2024-04-01,2500,Data Visualization Tool (Chart),"Chart.js, ASP.NET Core, JS"
2024-05-01,2600,Vehicle Info RTO API App,"ASP.NET MVC, SQL Server"
2024-06-01,2700,Enterprise AI Bot Service,"C#, ML.NET, JavaScript"
2024-07-01,2800,Live Forecasting Model Viewer,"ML.NET, Chart.js, ASP.NET Core"
2024-08-01,2900,Scalable Blazor Admin Suite,"Blazor Server, EF Core, C#"
